feature,dtype,missing_count,missing_pct,infinite_count,min,p1,median,p99,max,std
return_1m,float64,2434,9.58,0,-9.1429,-0.4342,0.0,0.5203,5.5556,0.2036
return_5m,float64,2215,8.71,0,-2.381,-0.8045,0.0,1.061,3.2525,0.293
return_15m,float64,2126,8.36,0,-5.2632,-1.2652,-0.0523,1.649,6.6274,0.5106
return_30m,float64,1886,7.42,0,-6.3444,-1.662,-0.0344,2.464,8.8634,0.7184
return_60m,float64,835,3.29,0,-8.4576,-2.6212,-0.0597,3.8285,96.1925,1.4393
return_1m_missing,int64,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.2943
return_5m_missing,int64,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.282
return_15m_missing,int64,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.2769
return_30m_missing,int64,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.2621
return_60m_missing,int64,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.1782
price_range_pct,float64,0,0.0,0,0.0,0.0,0.0646,0.6981,5.5556,0.1692
distance_from_ma_5,float64,0,0.0,0,-4.7904,-0.471,0.0,0.5254,10.833,0.2047
distance_from_ma_15,float64,0,0.0,0,-4.7904,-0.7639,-0.0143,0.9519,6.969,0.3038
distance_from_ma_30,float64,0,0.0,0,-4.7904,-1.026,-0.0323,1.4063,17.2512,0.4505
volatility_5m,float64,6,0.02,0,0.0,0.0,0.0846,0.7901,52.9631,0.5035
volatility_15m,float64,6,0.02,0,0.0,0.0222,0.1005,0.7874,40.2637,0.3996
volatility_30m,float64,6,0.02,0,0.0,0.0303,0.1093,0.8516,44.6948,0.4365
volatility_60m,float64,6,0.02,0,0.0,0.0385,0.1317,0.9277,43.495,0.4731
volume_ratio,float64,0,0.0,0,0.0,0.0,0.4708,8.1305,13.4234,1.4983
log_volume_change,float64,0,0.0,0,-11.0641,-7.8099,0.0652,7.2957,12.4291,2.6991
prev_vol_zero_flag,int64,0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.2553
price_change_from_open,float64,0,0.0,0,-13.1179,-4.237,-0.3096,5.7533,100.2827,2.3628
session_range_pct,float64,0,0.0,0,0.0,0.524,1.8189,8.8228,51.0233,1.9013
day_of_week,int32,0,0.0,0,0.0,0.0,2.0,4.0,4.0,1.3683
observed_sessions_ahead,int64,0,0.0,0,1.0,1.0,3.0,7.0,11.0,1.8094
calendar_days_ahead,int64,0,0.0,0,1.0,1.0,11.0,24.0,30.0,7.3332
