observed_sessions_ahead,calendar_days_ahead,pair_count,down_pct,stable_pct,up_pct,ref_dates_represented,tgt_dates_represented
1,1,3098,27.89,49.45,22.66,7,7
1,8,1158,36.27,22.71,41.02,1,1
1,7,865,37.34,20.35,42.31,1,1
1,5,687,60.99,17.76,21.25,1,1
1,3,107,37.38,42.99,19.63,1,1
2,9,1418,38.58,19.89,41.54,2,2
2,2,1242,32.37,38.0,29.63,3,3
2,12,1011,53.81,13.16,33.04,1,1
2,8,859,42.26,19.09,38.65,1,1
2,6,849,56.07,19.08,24.85,1,1
2,4,107,31.78,40.19,28.04,2,2
3,13,2182,52.52,13.29,34.19,2,2
3,10,1598,40.8,18.96,40.24,2,2
3,14,860,49.42,15.47,35.12,1,1
3,5,111,47.75,25.23,27.03,2,2
3,3,5,60.0,40.0,0.0,1,1
4,21,1199,50.13,11.01,38.87,1,1
4,14,1164,53.01,13.4,33.59,1,1
4,11,1019,38.86,18.16,42.98,1,1
4,13,87,47.13,17.24,35.63,1,1
4,15,68,58.82,14.71,26.47,1,1
4,6,10,60.0,40.0,0.0,2,2
5,22,1609,50.84,11.75,37.41,2,2
5,16,865,51.56,12.25,36.18,1,1
5,14,104,48.08,12.5,39.42,2,2
5,7,5,80.0,20.0,0.0,1,1
6,23,1637,50.4,12.1,37.51,2,2
6,15,9,66.67,22.22,11.11,2,2
6,8,5,80.0,20.0,0.0,1,1
6,19,5,40.0,40.0,20.0,1,1
7,24,1207,50.12,11.43,38.44,1,1
7,26,107,45.79,14.02,40.19,1,1
7,16,9,66.67,22.22,11.11,2,2
7,20,5,40.0,40.0,20.0,1,1
8,27,108,50.93,10.19,38.89,2,2
8,21,5,60.0,40.0,0.0,1,1
8,17,4,75.0,25.0,0.0,1,1
9,28,10,100.0,0.0,0.0,2,2
9,22,5,60.0,40.0,0.0,1,1
10,29,10,100.0,0.0,0.0,2,2
11,30,5,100.0,0.0,0.0,1,1
