model,split,accuracy,balanced_accuracy,macro_f1,macro_precision,macro_recall,down_f1,stable_f1,up_f1,down_precision,stable_precision,up_precision,down_recall,stable_recall,up_recall,log_loss
"Logistic Regression (L2, C=0.1)",Validation,0.3828,0.3564,0.3305,0.3539,0.3564,0.4899,0.2793,0.2222,0.5656,0.2007,0.2955,0.432,0.459,0.1781,1.0553
"Logistic Regression (L2, C=0.1)",Test,0.4713,0.3868,0.3661,0.4046,0.3868,0.3924,0.6062,0.0997,0.357,0.5569,0.3,0.4357,0.665,0.0598,1.0505
"Logistic Regression (L2, C=1.0)",Validation,0.4178,0.3671,0.3462,0.3827,0.3671,0.5392,0.2805,0.219,0.5833,0.2053,0.3594,0.5012,0.4426,0.1575,1.0469
"Logistic Regression (L2, C=1.0)",Test,0.464,0.3869,0.3563,0.4249,0.3869,0.4197,0.5841,0.0652,0.3544,0.5601,0.36,0.5144,0.6103,0.0359,1.0516
"Random Forest (depth=8, trees=150)",Validation,0.2635,0.4076,0.2687,0.3706,0.4076,0.1414,0.3241,0.3406,0.5484,0.202,0.3615,0.0811,0.8197,0.3219,1.1385
"Random Forest (depth=8, trees=150)",Test,0.4753,0.3923,0.3739,0.4066,0.3923,0.2243,0.637,0.2603,0.4069,0.5426,0.2704,0.1549,0.7711,0.251,1.0375
"Extra Trees (depth=8, trees=150)",Validation,0.2664,0.4194,0.2664,0.3518,0.4194,0.0919,0.316,0.3912,0.5526,0.2147,0.288,0.0501,0.5984,0.6096,1.0957
"Extra Trees (depth=8, trees=150)",Test,0.4972,0.3903,0.3635,0.4219,0.3903,0.2035,0.6574,0.2298,0.4,0.5324,0.3333,0.1365,0.859,0.1753,1.0361
"XGBoost (depth=4, lr=0.05, trees=100)",Validation,0.2489,0.3934,0.2427,0.3613,0.3934,0.1271,0.3287,0.2724,0.566,0.2027,0.3153,0.0716,0.8689,0.2397,1.1824
"XGBoost (depth=4, lr=0.05, trees=100)",Test,0.4818,0.3804,0.3531,0.4024,0.3804,0.1964,0.6481,0.215,0.4153,0.5319,0.2599,0.1286,0.8292,0.1833,1.0287
