symbol,total_pairs,min_horizon_sessions,max_horizon_sessions,distinct_ref_dates,distinct_tgt_dates
ICICIBANK,55,1,11,10,10
HDFCBANK,55,1,11,10,10
RELIANCE,55,1,11,10,10
INFY,55,1,11,10,10
TCS,45,1,11,9,9
AARTIIND,28,1,8,7,7
AGARWALEYE,28,1,8,7,7
ABCAPITAL,28,1,8,7,7
ABB,28,1,8,7,7
AFCONS,28,1,8,7,7
AFFLE,28,1,8,7,7
AEROENTER,28,1,8,7,7
AETHER,28,1,8,7,7
AEQUS,28,1,8,7,7
HCC,28,1,7,7,7
HBLENGINE,28,1,7,7,7
AEROFLEX,28,1,8,7,7
HAL,28,1,7,7,7
GVT&D,28,1,7,7,7
GVPIL,28,1,7,7,7
AJANTPHARM,28,1,8,7,7
AIIL,28,1,8,7,7
AIAENG,28,1,8,7,7
AHLUCONT,28,1,8,7,7
HAVELLS,28,1,7,7,7
AHCL,28,1,8,7,7
ADANIENT,28,1,8,7,7
ACUTAAS,28,1,8,7,7
ADANIENSOL,28,1,8,7,7
ACMESOLAR,28,1,8,7,7
GRSE,28,1,7,7,7
GRANULES,28,1,7,7,7
GTLINFRA,28,1,7,7,7
GODREJCP,28,1,7,7,7
GODREJAGRO,28,1,7,7,7
GODFRYPHLP,28,1,7,7,7
AKUMS,28,1,8,7,7
GRASIM,28,1,7,7,7
GRAPHITE,28,1,7,7,7
AAVAS,28,1,8,7,7
AARTIPHARM,28,1,8,7,7
GOKEX,28,1,7,7,7
GOLDIAM,28,1,7,7,7
GENESYS,28,1,7,7,7
GODREJPROP,28,1,7,7,7
GNA,28,1,7,7,7
GMRAIRPORT,28,1,7,7,7
GMDCLTD,28,1,7,7,7
GODREJIND,28,1,7,7,7
GKENERGY,28,1,7,7,7
GIPCL,28,1,7,7,7
GICRE,28,1,7,7,7
ANGELONE,28,1,8,7,7
FIVESTAR,28,1,7,7,7
FIRSTCRY,28,1,7,7,7
GARFIBRES,28,1,7,7,7
GNFC,28,1,7,7,7
GANECOS,28,1,7,7,7
GANDHAR,28,1,7,7,7
FINCABLES,28,1,7,7,7
FINEORG,28,1,7,7,7
FIEMIND,28,1,7,7,7
FEDERALBNK,28,1,7,7,7
FCSSOFT,28,1,7,7,7
FILATEX,28,1,7,7,7
FCL,28,1,7,7,7
FACT,28,1,7,7,7
EXICOM,28,1,7,7,7
EXIDEIND,28,1,7,7,7
APTUS,28,1,8,7,7
APOLLOTYRE,28,1,8,7,7
APOLLOHOSP,28,1,8,7,7
GAIL,28,1,7,7,7
ATHERENERG,28,1,8,7,7
ATGL,28,1,8,7,7
ASTRAL,28,1,8,7,7
ASTRAMICRO,28,1,8,7,7
ASIANPAINT,28,1,8,7,7
ASIANENE,28,1,8,7,7
ASHOKLEY,28,1,8,7,7
ASTERDM,28,1,8,7,7
ASHAPURMIN,28,1,8,7,7
ASAHIINDIA,28,1,8,7,7
ARVSMART,28,1,8,7,7
ARVINDFASN,28,1,8,7,7
ARVIND,28,1,8,7,7
ANTHEM,28,1,8,7,7
ANANTRAJ,28,1,8,7,7
ASHOKA,28,1,8,7,7
ANANDRATHI,28,1,8,7,7
AMBUJACEM,28,1,8,7,7
AMAGI,28,1,8,7,7
AMBER,28,1,8,7,7
APLAPOLLO,28,1,8,7,7
APEX,28,1,8,7,7
APCOTEXIND,28,1,8,7,7
APOLLO,28,1,8,7,7
APARINDS,28,1,8,7,7
ADANIPOWER,28,1,8,7,7
ADANIPORTS,28,1,8,7,7
ADANIGREEN,28,1,8,7,7
ABFRL,28,1,8,7,7
ABSLAMC,28,1,8,7,7
ACC,28,1,8,7,7
ACE,28,1,8,7,7
360ONE,21,1,8,6,6
ABREL,21,1,8,6,6
IFGLEXPOR,21,1,7,6,6
IGIL,21,1,7,6,6
IGL,21,1,7,6,6
IIFL,21,1,7,6,6
IKS,21,1,7,6,6
INDOMIM,21,1,7,6,6
INDSWFTLAB,21,1,7,6,6
INDUSINDBK,21,1,7,6,6
INDUSTOWER,21,1,7,6,6
HSCL,21,1,7,6,6
INDIGO,21,1,7,6,6
IDEAFORGE,21,1,7,6,6
IDFCFIRSTB,21,1,7,6,6
IOLCP,21,1,7,6,6
IOC,21,1,7,6,6
SUNDRMFAST,21,1,7,6,6
SUDEEPPHRM,21,1,7,6,6
SUDARSCHEM,21,1,7,6,6
SUBEXLTD,21,1,7,6,6
ICICIAMC,21,1,7,6,6
IBULLSLTD,21,1,7,6,6
HYUNDAI,21,1,7,6,6
HUDCO,21,1,7,6,6
IOB,21,1,7,6,6
INTERARCH,21,1,7,6,6
INTELLECT,21,1,7,6,6
INOXWIND,21,1,7,6,6
INOXINDIA,21,1,7,6,6
INOXGREEN,21,1,7,6,6
SASKEN,21,1,7,6,6
SARVESHWAR,21,1,7,6,6
ANTELOPUS,21,1,8,6,6
SCI,21,1,7,6,6
SCHNEIDER,21,1,7,6,6
SCHAEFFLER,21,1,7,6,6
SBIN,21,1,7,6,6
SBILIFE,21,1,7,6,6
SBIFUNDS,21,1,7,6,6
SBICARD,21,1,7,6,6
SBFC,21,1,7,6,6
SBCL,21,1,7,6,6
ARSSBL,21,1,8,6,6
ARE&M,21,1,8,6,6
ARDEE,21,1,8,6,6
SAREGAMA,21,1,7,6,6
SAIL,21,1,7,6,6
SAGILITY,21,1,7,6,6
RVNL,21,1,7,6,6
AXITA,21,1,7,6,6
AXISCADES,21,1,7,6,6
AXISBANK,21,1,7,6,6
AWL,21,1,7,6,6
AWHCL,21,1,7,6,6
SAMHI,21,1,7,6,6
SAMBHV,21,1,7,6,6
ASKAUTOLTD,21,1,7,6,6
ASIANTILES,21,1,7,6,6
AUROPHARMA,21,1,7,6,6
AURIONPRO,21,1,7,6,6
AUBANK,21,1,7,6,6
SBC,21,1,7,6,6
RUPA,21,1,7,6,6
RUBICON,21,1,7,6,6
RTNPOWER,21,1,7,6,6
RSYSTEMS,21,1,7,6,6
RRKABEL,21,1,7,6,6
RPTECH,21,1,7,6,6
BAJAJHIND,21,1,7,6,6
BAJAJHFL,21,1,7,6,6
BAJAJFINSV,21,1,7,6,6
BAJAJELEC,21,1,7,6,6
BAJAJCON,21,1,7,6,6
ATUL,21,1,8,6,6
ATLANTAELE,21,1,8,6,6
ATALREAL,21,1,8,6,6
SAKSOFT,21,1,7,6,6
SAILIFE,21,1,7,6,6
ROSSTECH,21,1,7,6,6
ROLEXRINGS,21,1,7,6,6
RKFORGE,21,1,7,6,6
RITES,21,1,7,6,6
RISHABH,21,1,7,6,6
RIR,21,1,7,6,6
RENUKA,21,1,7,6,6
BANKINDIA,21,1,7,6,6
BANKBARODA,21,1,7,6,6
BANDHANBNK,21,1,7,6,6
BALUFORGE,21,1,7,6,6
AVL,21,1,7,6,6
AVANTIFEED,21,1,7,6,6
AVANTEL,21,1,7,6,6
AVANCE,21,1,7,6,6
AVALON,21,1,7,6,6
BAJFINANCE,21,1,7,6,6
RELAXO,21,1,7,6,6
REFEX,21,1,7,6,6
REDINGTON,21,1,7,6,6
RECLTD,21,1,7,6,6
RBLBANK,21,1,7,6,6
RBA,21,1,7,6,6
RAYMONDLSL,21,1,7,6,6
RAYMOND,21,1,7,6,6
RATNAVEER,21,1,7,6,6
BEL,21,1,7,6,6
BECTORFOOD,21,1,7,6,6
BAJAJ-AUTO,21,1,7,6,6
AZAD,21,1,7,6,6
RPOWER,21,1,7,6,6
RPEL,21,1,7,6,6
RAMRAT,21,1,7,6,6
RAMCOCEM,21,1,7,6,6
RALLIS,21,1,7,6,6
RAIN,21,1,7,6,6
RAILTEL,21,1,7,6,6
RADICO,21,1,7,6,6
BHARATFORG,21,1,7,6,6
BHARATCOAL,21,1,7,6,6
BHAGYANGR,21,1,7,6,6
BERGEPAINT,21,1,7,6,6
BEPL,21,1,7,6,6
BEML,21,1,7,6,6
BALRAMCHIN,21,1,7,6,6
BALMLAWRIE,21,1,7,6,6
BALKRISIND,21,1,7,6,6
BALAMINES,21,1,7,6,6
PWL,21,1,7,6,6
PVRINOX,21,1,7,6,6
PVP,21,1,7,6,6
PTC,21,1,7,6,6
PROTEAN,21,1,7,6,6
PRIVISCL,21,1,7,6,6
PRICOLLTD,21,1,7,6,6
PRESTIGE,21,1,7,6,6
PREMIERENE,21,1,7,6,6
PREMEXPLN,21,1,7,6,6
PRECWIRE,21,1,7,6,6
BLACKBUCK,21,1,7,6,6
BDL,21,1,7,6,6
BCG,21,1,7,6,6
BBOX,21,1,7,6,6
BATAINDIA,21,1,7,6,6
PRAKASH,21,1,7,6,6
PRAJIND,21,1,7,6,6
PPLPHARMA,21,1,7,6,6
POWERINDIA,21,1,7,6,6
POWERICA,21,1,7,6,6
POWERGRID,21,1,7,6,6
POONAWALLA,21,1,7,6,6
POLYPLEX,21,1,7,6,6
BLUESTONE,21,1,7,6,6
BLUESTARCO,21,1,7,6,6
BLUEJET,21,1,7,6,6
BLUECLOUDS,21,1,7,6,6
BELRISE,21,1,7,6,6
RADHIKAJWE,21,1,7,6,6
QUESS,21,1,7,6,6
QPOWER,21,1,7,6,6
POCL,21,1,7,6,6
PNGJL,21,1,7,6,6
PNCINFRA,21,1,7,6,6
PNBHOUSING,21,1,7,6,6
PNBGILTS,21,1,7,6,6
PNB,21,1,7,6,6
CAMPUS,21,1,7,6,6
BSOFT,21,1,7,6,6
BSE,21,1,7,6,6
BRITANNIA,21,1,7,6,6
BRIGADE,21,1,7,6,6
BPCL,21,1,7,6,6
BIOCON,21,1,7,6,6
BHEL,21,1,7,6,6
BHARTIHEXA,21,1,7,6,6
BHARTIARTL,21,1,7,6,6
PIDILITIND,21,1,7,6,6
PHOENIXLTD,21,1,7,6,6
PGEL,21,1,7,6,6
PFOCUS,21,1,7,6,6
PFC,21,1,7,6,6
PETRONET,21,1,7,6,6
PERSISTENT,21,1,7,6,6
PCJEWELLER,21,1,7,6,6
PAYTM,21,1,7,6,6
PATELENG,21,1,7,6,6
PATANJALI,21,1,7,6,6
CCAVENUE,21,1,7,6,6
BLSE,21,1,7,6,6
BLS,21,1,7,6,6
POLYCAB,21,1,7,6,6
POLICYBZR,21,1,7,6,6
CANBK,21,1,7,6,6
CAMS,21,1,7,6,6
PARKHOSPS,21,1,7,6,6
PARAS,21,1,7,6,6
PARAGMILK,21,1,7,6,6
PARADEEP,21,1,7,6,6
PARACABLES,21,1,7,6,6
PAISALO,21,1,7,6,6
